一不小心	yrt brt siu srm
青瓷	cij ci
青田	cij tin
青田县	cij tin yvn
青发	cej fat
青白	cej bak
青白江	cij bak goj
青眼	cij jan
青睐	cij loi
青石	cij sek
青神	cij srn
青神县	cij srn yvn
青秀	cij sru
青秀区	cij sru kxi
青稞	cij fo
青筋	cej grn
青红帮	cij huj boj
青红皂白	cij huj zou bak
青紫	cej zi
青丝	cej si
青县	cij yvn
青羊	cij yxj
青羊区	cij yxj kxi
青翠	cij cxi
青肿	cej zuj
青脚滨鹬	cej gxk brn wrt
青脚鹬	cej gxk wrt
青色	cej sik
青芥辣	cej gai lat
青花	cej fa
青花椰菜	cej fa ye coi
青花瓷	cij fa ci
青花菜	cej fa coi
青苔	cej toi
青荇	cij hrj
青草	cij cou
青菜	cej coi
青葙	cij sxj
青葙子	cij sxj zi
青蒜	cej svn
青蒿素	cij hou sou
青葱	cij cuj
青藏	cij zoj
青藏公路	cij zoj guj lou
青藏线	cij zoj sin
青藏铁路	cij zoj tit lou
青藏铁路线	cij zoj tit lou sin
青藏高原	cij zoj gou yvn
青蛙	cij wa
青豆	cej dru
青贮	cij cv
青釉	cij yru
青金石	cij grm sek
青铜	cij tuj
青铜器	cij tuj hei
青铜器时代	cij tuj hei si doi
青铜峡	cij tuj hap
青铜峡市	cij tuj hap si
青阳	cij yxj
青阳县	cij yxj yvn
青云	cij wrn
青云直上	cij wrn zik sxj
青云谱	cij wrn pou
青云谱区	cij wrn pou kxi
青靛	cej din
青面獠牙	cij min liu ja
青头潜鸭	cej tru cim ap
青头鹦鹉	cej tru yij mou
青马大桥	cij ma dai kiu
青鱼	cij yv
青鲛	cij gau
青黄	cij woj
青黄不接	cij woj brt zip
青黛	cij doi
青霉素	cij mei sou
青霉素	cij mui sou
青鼬	cij yru
青龙	cij luj
东方青龙	duj foj cij luj
青龙满族自治县	cij luj mun zuk zi zi yvn
青龙县	cij luj yvn
靖乱	zij lvn
靖国	zij guok
靖国神社	zij guok srn se
靖宇	zij yv
靖宇县	zij yv yvn
靖安	zij on
靖安县	zij on yvn
靖州	zij zru
靖州县	zij zru yvn
靖州苗族侗族自治县	zij zru miu zuk duj zuk zi zi yvn
靖江	zij goj
靖江市	zij goj si
靖西	zij sri
靖西县	zij sri yvn
靖远	zij yvn
靖远县	zij yvn yvn
靖边	zij bin
靖边县	zij bin yvn
靖难之役	zij nan zi yik
靓女	lej nxi
靓妆	lej zoj
靓妹	lej mui
靓丽	lej lri
靛冠噪鹛	din gun cou mei
靛油	din yru
靛白	din bak
靛色	din sik
靛花	din fa
靛蓝	din lam
靛蓝色	din lam sik
靛青	din cej
静一静	zij yrt zij
静候	zij hru
静力学	zij lik hok
静力平衡	zij lik pij hrj
静区	zij kxi
静坐	zij zo
静坐不动	zij zo brt duj
静坐不能	zij zo brt nrj
静坐抗议	zij zo koj yi
静坐抗议示威	zij zo koj yi si wri
静坐罢工	zij zo ba guj
静安区	zij on kxi
静寂	zij zik
静宁	zij nij
静宁县	zij nij yvn
静山	zij san
静冈县	zij goj yvn
静心	zij srm
静恬	zij tim
静悄悄	zij ciu ciu
静态	zij tai
静态存储器	zij tai cvn cv hei
静乐	zij lok
静乐县	zij lok yvn
静止	zij zi
静止锋	zij zi fuj
静海	zij hoi
静海县	zij hoi yvn
静脉	zij mrk
静脉吸毒	zij mrk krp duk
静脉曲张	zij mrk kuk zxj
静脉注入	zij mrk zv yrp
静脉注射	zij mrk zv se
静脉点滴	zij mrk dim dik
静若寒蝉	zij yxk hon sim
静谧	zij mrt
静电	zij din
静音	zij yrm
静养	zij yxj
静默	zij mrk
静点	zij dim
非人	fei yrn
非人化	fei yrn fa
非但	fei dan
非你莫属	fei nei mok suk
非公式	fei guj sik
非典	fei din
非典型肺炎	fei din yij fri yim
非凡	fei fan
非分之念	fei frn zi nim
非利士	fei lei si
非利士族	fei lei si zuk
非动物性	fei duj mrt sij
非动物性名词	fei duj mrt sij mij ci
非同小可	fei tuj siu ho
非同步	fei tuj bou
非同步传输模式	fei tuj bou cvn sv mou sik
非吸烟	fei krp yin
非命	fei mij
非国大	fei guok dai
非均质	fei gurn zrt
非婚生	fei frn srj
非婚生子女	fei frn srj zi nxi
非宗教	fei zuj gau
非官方	fei gun foj
非富即贵	fei fu zik guri
非富则贵	fei fu zrk guri
非写实	fei se srt
非对称	fei dxi cij
非对称式数据用户线	fei dxi cij sik sou gxi yuj wu sin
非导体	fei dou tri
非小说	fei siu svt
非层岩	fei crj jam
非层状	fei crj zoj
非峰值	fei fuj zik
非常	fei sxj
非常多	fei sxj do
非常感谢	fei sxj grm ze
非常手段	fei sxj sru dvn
非平衡	fei pij hrj
非平衡态	fei pij hrj tai
非得	fei drk
非微扰	fei mei yiu
非必要	fei bit yiu
非必需	fei bit sxi
非拉丁字符	fei lai dij zi fu
非政府	fei zij fu
非政府组织	fei zij fu zou zik
非数字	fei sou zi
非斯	fei si
非暴力	fei bou lik
非核	fei hrt
非核化	fei hrt fa
非核国家	fei hrt guok ga
非核地带	fei hrt dei dai
非核武器国家	fei hrt mou hei guok ga
非条件反射	fei tiu gin fan se
非杠杆化	fei goj gon fa
非标准	fei biu zxn
非模态	fei mou tai
非欧几何	fei ru gei ho
非欧几何学	fei ru gei ho hok
非正常	fei zij sxj
非正式	fei zij sik
非正数	fei zij sou
非此即彼	fei ci zik bei
非死不可	fei sei brt ho
非法	fei fat
非法定	fei fat dij
非洲	fei zru
非洲之角	fei zru zi gok
非洲人	fei zru yrn
非洲人国民大会	fei zru yrn guok mrn dai wui
非洲单源说	fei zru dan yvn svt
非洲大裂谷	fei zru dai lit guk
非洲统一组织	fei zru tuj yrt zou zik
非洲联盟	fei zru lvn mrj
非洲锥虫病	fei zru zxi cuj bej
非洲开发银行	fei zru hoi fat jrn hoj
非营利	fei yij lei
非营利组织	fei yij lei zou zik
非物质文化遗产	fei mrt zrt mrn fa wri can
非特	fei drk
非独	fei duk
非独立	fei duk lap
非异人任	fei yi yrn yrm
非盈利	fei yij lei
非盈利的组织	fei yij lei dik zou zik
非盈利组织	fei yij lei zou zik
非盟	fei mrj
非直接	fei zik zip
非相对论性	fei sxj dxi lxn sij
非礼	fei lri
非空	fei huj
非线性	fei sin sij
非线性光学	fei sin sij guoj hok
非羁押性	fei gei at sij
非自然	fei zi yin
非致命	fei zi mij
非裔	fei yxi
非要	fei yiu
非规整	fei quri zij
非亲非故	fei crn fei gu
非词重复测验	fei ci cuj fuk cak yim
非诚勿扰	fei sij mrt yiu
非议	fei yi
非负数	fei fu sou
非赢利组织	fei yij lei zou zik
非军事区	fei gurn si kxi
非农产品	fei nuj can brn
非递推	fei dri txi
非遗传多型性	fei wri cvn do yij sij
非都会郡	fei dou wui gurn
非金属	fei grm suk
非阿贝尔	fei a bui yi
非难	fei nan
非零	fei lij
非音	fei yrm
非预谋	fei yv mru
非驴非马	fei lxi fei ma
非高峰	fei gou fuj
非党	fei doj
非党人士	fei doj yrn si
靠不住	kau brt zv
靠北	kau brk
靠杯	kau bui
靠山	kau san
靠山吃山，靠水吃水	kau san hek san ，kau sxi hek sxi
靠岸	kau jon
靠得住	kau drk zv
靠拢	kau luj
靠窗	kau cxj
靠窗座位	kau cxj zo wri
靠背椅	kau bui yi
靠腰	kau yiu
靠夭	kau yiu
靠谱	kau pou
靠走廊	kau zru loj
靠走道	kau zru dou
靠近	kau grn
靠边	kau bin
靡不有初，鲜克有终	mei brt yru co ，sin hrk yru zuj
靡有孑遗	mei yru kit wri
靡烂	mei lan
靡费	mei fri
糜费	mei fri
靡靡之音	mei mei zi yrm
面世	min sri
面交	min gau
面值	min zik
面儿	min yi
面具	min gxi
面前	min cin
面友	min yru
面向	min hxj
面向对象的技术	min hxj dxi zxj dik gei sxt
面向对象语言	min hxj dxi zxj yv yin
面向连接	min hxj lin zip
面型	min yij
面壁	min bik
面壁思过	min bik si guo
面如土色	min yv tou sik
面如灰土	min yv fui tou
面子	min zi
面孔	min huj
面容	min yuj
面对	min dxi
面对面	min dxi min
面巾	min grn
面市	min si
面带	min dai
面带愁容	min dai sru yuj
面带病容	min dai bej yuj
面形	min yij
面影	min yij
面心立方最密堆积	min srm lap foj zxi mrt dxi zik
面授	min sru
面授机宜	min sru gei yi
面叙	min zxi
面料	min liu
面斥	min cik
面晤	min j
面有菜色	min yru coi sik
面有难色	min yru nan sik
面朝黄土背朝天	min ciu woj tou bui ciu tin
面板	min ban
面熟	min suk
面瓜	min gua
面瘫	min tan
面皮	min pei
面疱	min pau
面目	min muk
面目一新	min muk yrt srn
面目全非	min muk cvn fei
面目可憎	min muk ho zrj
面相	min sxj
面积	min zik
面红耳赤	min huj yi cek
面纱	min sa
面罄	min hij
面罩	min zau
面肥	min fei
面膜	min mok
面临	min lrm
面临困难	min lrm qurn nan
面色	min sik
面色如土	min sik yv tou
面试	min si
面试工作	min si guj zok
面试会	min si wui
面谈	min tam
面谀	min yv
面谕	min yv
面谢	min ze
面议	min yi
面誉	min yv
面貌	min mau
面部	min bou
面部表情	min bou biu cij
面镜	min gej
面霜	min sxj
面露不悦	min lou brt yvt
面面	min min
面面俱到	min min kxi dou
面面相觑	min min sxj cxi
面面观	min min gun
面颊	min hap
面额	min jak
面颜	min jan
面首	min sru
面黄肌瘦	min woj gei sru
面黄肌闳	min woj gei wrj
面庞	min poj
腼腆	min tin
腼脸	tin lim
革出	gak cxt
革出山门	gak cxt san mun
革出教门	gak cxt gau mun
革吉	gak grt
革吉县	gak grt yvn
革命	gak mij
革命先烈	gak mij sin lit
革命家	gak mij ga
革命性	gak mij sij
革命烈士	gak mij lit si
革命卫队	gak mij wri dxi
革命军	gak mij gurn
革命党	gak mij doj
革囊	gak noj
革履	gak lei
革故鼎新	gak gu dij srn
革新	gak srn
革新能手	gak srn nrj sru
革职	gak zik
革兰氏	gak lan si
革兰氏染色法	gak lan si yim sik fat
革兰氏阴性	gak lan si yrm sij
革兰阳	gak lan yxj
革兰阳性	gak lan yxj sij
革制品	gak zri brn
革退	gak txi
革除	gak cxi
革面洗心	gak min sri srm
靴子	hx zi
靴掖子	hx yik zi
靴篱莺	hx lei rj
靴裤	hx fu
靴隼雕	hx zxn diu
靶场	ba cxj
靶子	ba zi
靶心	ba srm
靶机	ba gei
靶纸	ba zi
靶船	ba svn
鞅掌	yxj zxj
鞅牛	yxj jru
鞋匠	hai zxj
鞋垫	hai zin
鞋子	hai zi
鞋履	hai lei
鞋带	hai dai
鞋帮	hai boj
鞋底	hai dri
鞋拔	hai brt
鞋拔子	hai brt zi
鞋楦	hai hvn
鞋油	hai yru
鞋袜	hai mrt
鞋跟	hai grn
鞍前马后	on cin ma hru
鞍山	on san
鞍山市	on san si
鞍马	on ma
鞍马劳顿	on ma lou dxn
鞍点	on dim
巩俐	guj lei
巩固	guj gu
巩留	guj lru
巩留县	guj lru yvn
巩县	guj yvn
巩义	guj yi
巩义市	guj yi si
巩膜	guj mok
鞘翅	ciu ci
鞘翅目	ciu ci muk
鞘脂	ciu zi
鞠躬	guk guj
鞠躬尽力	guk guj zxn lik
鞠躬尽瘁	guk guj zxn sxi
鞠躬尽瘁，死而后已	guk guj zxn sxi ，sei yi hru yi
鞣制	yru zri
鞣质	yru zrt
鞣酸	yru svn
秋千	cru cin
鞭子	bin zi
鞭打	bin da
鞭挞	bin tat
鞭毛	bin mou
鞭毛纲	bin mou goj
鞭炮	bin pau
鞭痕	bin hrn
鞭笞	bin ci
鞭策	bin cak
鞭节	bin zit
鞭虫	bin cuj
鞭长莫及	bin cxj mok krp
鞭辟入里	bin pik yrp lxi
缰绳	gxj sij
鞑虏	tat lou
鞑靼	tat dat
鞑靼人	tat dat yrn
鞑靼海峡	tat dat hoi hap
韦伯	wri bak
韦利	wri lei
韦德	wri drk
韦慕庭	wri mou tij
韦应物	wri yij mrt
韦斯卡	wri si ka
韦格纳	wri gak nap
韦氏拼法	wri si pij fat
韦氏鹟莺	wri si yuj rj
韦尔弗雷兹	wri yi frt lxi zi
韦尔瓦	wri yi ja
韦瓦第	wri ja dri
韦科	wri fo
韦编三绝	wri pin sam zvt
韦达	wri dat
韦驮菩萨	wri to pou sat
韧带	yrn dai
韧性	jrn sij
韧皮部	jrn pei bou
韧体	jrn tri
韩世昌	hon sri cxj
韩亚	hon a
韩亚航空	hon a hoj huj
韩亚龙	hon a luj
韩信	hon sxn
韩元	hon yvn
韩半岛	hon bun dou
韩国	hon guok
韩国人	hon guok yrn
韩国泡菜	hon guok pau coi
韩国联合通讯社	hon guok lvn hrp tuj sxn se
韩国语	hon guok yv
韩国银行	hon guok jrn hoj
韩圆	hon yvn
韩城	hon sij
韩城市	hon sij si
韩城县	hon sij yvn
韩媒	hon mui
韩寒	hon hon
韩山师范学院	hon san si fan hok yvn
韩彦直	hon yin zik
韩复矩	hon fuk gxi
韩德尔	hon drk yi
韩愈	hon yv
韩爱晶	hon oi zij
韩战	hon zin
韩文	hon mrn
韩文字母	hon mrn zi mou
韩方	hon foj
韩日	hon yrt
韩升洙	hon sij zv
韩服	hon fuk
韩朝	hon ciu
韩棒子	hon paj zi
韩正	hon zij
韩江	hon goj
韩澳	hon ou
韩素音	hon sou yrm
韩美	hon mei
韩联社	hon lvn se
韩语	hon yv
韩邦庆	hon boj hij
韩非	hon fei
韩非子	hon fei zi
韬光养晦	tou guoj yxj fui
韬略	tou lxk
韭菜花	gru coi fa
音位	yrm wri
音信	yrm sxn
音值	yrm zik
音像	yrm zxj
音叉	yrm ca
音名	yrm mej
音域	yrm wik
音容	yrm yuj
音带	yrm dai
音律	yrm lxt
音拴	yrm san
音效	yrm hau
音乐	yrm jok
音乐之声	yrm jok zi sij
音乐光碟	yrm jok guoj dip
音乐学	yrm jok hok
音乐学院	yrm jok hok yvn
音乐家	yrm jok ga
音乐厅	yrm jok tej
音乐节	yrm jok zit
音乐院	yrm jok yvn
音乐电视	yrm jok din si
音标	yrm biu
音步	yrm bou
音波	yrm bo
音爆	yrm bau
音痴	yrm ci
音程	yrm cij
音符	yrm fu
音管	yrm gun
音箱	yrm sxj
音节	yrm zit
音节体	yrm zit tri
音级	yrm krp
音素	yrm sou
音义	yrm yi
音耗	yrm hou
音色	yrm sik
音视	yrm si
音视频	yrm si prn
音讯	yrm sxn
音调	yrm diu
音译	yrm yik
音读	yrm duk
音变	yrm bin
音质	yrm zrt
音轨	yrm guri
音速	yrm cuk
音量	yrm lxj
音长	yrm cxj
音阶	yrm gai
音韵	yrm wrn
音韵学	yrm wrn hok
音响	yrm hxj
音响效果	yrm hxj hau guo
音响设备	yrm hxj cit bei
音频	yrm prn
音频文件	yrm prn mrn gin
音频设备	yrm prn cit bei
音高	yrm gou
韶山	siu san
韶山市	siu san si
韶关	siu guan
韶关地区	siu guan dei kxi
韶关市	siu guan si
韵事	wrn si
韵人韵事	wrn yrn wrn si
韵味	wrn mei
韵尾	wrn mei
韵律	wrn lxt
韵文	wrn mrn
韵书	wrn sv
韵母	wrn mou
韵白	wrn bak
韵目	wrn muk
韵脚	wrn gxk
韵腹	wrn fuk
韵致	wrn zi
韵诗	wrn si
韵语	wrn yv
韵调	wrn diu
韵头	wrn tru
响亮	hxj lxj
响叮当	hxj dij doj
响器	hxj hei
响当当	hxj doj doj
响尾蛇	hxj mei se
响彻	hxj cit
响应	hxj yij
响应时间	hxj yij si gan
响板	hxj ban
响水	hxj sxi
响水县	hxj sxi yvn
响声	hxj sej
响遍	hxj pin
响雷	hxj lxi
响音	hxj yrm
响头	hxj tru
页岩	yip jam
页底	yip dri
页心	yip srm
页框	yip quaj
页码	yip ma
页蒿	yip hou
页边	yip bin
页面	yip min
页首	yip sru
顶上	dij sxj
顶事	dej si
顶住	dij zv
顶冒	dij mou
顶名冒姓	dij mij mou sij
顶呱呱	dij gua gua
顶刮刮	dij guat guat
顶嘴	dij zxi
顶多	dij do
顶天立地	dij tin lap dei
顶夸克	dej qua hrk
顶尖	dij zim
顶尖儿	dij zim yi
顶尖级	dij zim krp
顶层	dej crj
顶峰	dij fuj
顶岗	dij goj
顶戴	dij dai
顶拜	dij bai
顶撞	dij zoj
顶挡	dij doj
顶替	dij tri
顶板	dej ban
顶架	dej ga
顶格	dij gak
顶杆	dej gon
顶梁柱	dij lxj cv
顶棒	dej paj
顶棚	dej paj
顶楼	dej lru
顶灯	dej drj
顶牛儿	dij jru yi
顶班	dij ban
顶用	dij yuj
顶目	dij muk
顶端	dij dvn
顶级	dij krp
顶缸	dij goj
顶罪	dij zxi
顶芽	dij ja
顶叶	dij yip
顶盖	dej goi
顶补	dij bou
顶角	dij gok
顶谢	dij ze
顶让	dij yxj
顶轮	dij lxn
顶部	dej bou
顶针	dij zrm
顶门壮户	dij mun zoj wu
顶阀	dej frt
顶面	dej min
顶头	dij tru
顶风	dej fuj
顶风停止	dij fuj tij zi
顶骨	dij gurt
顶点	dij dim
顷久	kij gru
顷之	kij zi
顷刻	kij hrk
顷刻间	kij hrk gan
顷者	kij ze
项上人头	hoj sxj yrn tru
项圈	hoj hvn
项城	hoj sij
项城市	hoj sij si
项目	hoj muk
项目管理	hoj muk gun lei
项羽	hoj yv
项英	hoj yij
项庄舞剑	hoj zoj mou gim
项庄舞剑，意在沛公	hoj zoj mou gim ，yi zoi pui guj
项庄舞剑，志在沛公	hoj zoj mou gim ，zi zoi pui guj
项链	hoj lin
项颈	hoj gej
顺位	sxn wri
顺便	sxn bin
顺其自然	sxn kei zi yin
顺利	sxn lei
顺势	sxn sri
顺势疗法	sxn sri liu fat
顺化	sxn fa
顺口	sxn hru
顺口溜	sxn hru lru
顺和	sxn wo
顺嘴	sxn zxi
顺嘴儿	sxn zxi yi
顺坦	sxn tan
顺城	sxn sij
顺城区	sxn sij kxi
顺境	sxn gij
顺导	sxn dou
顺差	sxn ca
顺带	sxn dai
顺平	sxn pij
顺平县	sxn pij yvn
顺序数	sxn zxi sou
顺延	sxn yin
顺式	sxn sik
顺从	sxn cuj
顺德	sxn drk
顺德区	sxn drk kxi
顺心	sxn srm
顺意	sxn yi
顺庆	sxn hij
顺庆区	sxn hij kxi
顺应	sxn yij
顺应不良	sxn yij brt lxj
顺应天时	sxn yij tin si
顺我者昌逆我者亡	sxn jo ze cxj yik jo ze moj
顺手	sxn sru
顺手儿	sxn sru yi
顺手牵羊	sxn sru hin yxj
顺叙	sxn zxi
顺昌	sxn cxj
顺昌县	sxn cxj yvn
顺时针	sxn si zrm
顺服	sxn fuk
顺次	sxn ci
顺民	sxn mrn
顺气	sxn hei
顺水	sxn sxi
顺水人情	sxn sxi yrn cij
顺水推舟	sxn sxi txi zru
顺水推船	sxn sxi txi svn
顺河区	sxn ho kxi
顺河回族区	sxn ho wui zuk kxi
顺治	sxn zi
顺治帝	sxn zi dri
顺溜	sxn lru
顺潮	sxn ciu
顺理成章	sxn lei sij zxj
顺产	sxn can
顺当	sxn doj
顺眼	sxn jan
顺磁	sxn ci
顺义	sxn yi
顺义区	sxn yi kxi
顺耳	sxn yi
顺着	sxn zxk
顺藤摸瓜	sxn trj mo gua
顺行	sxn hrj
顺访	sxn foj
顺路	sxn lou
顺遂	sxn sxi
顺道	sxn dou
顺适	sxn sik
顺风	sxn fuj
顺风耳	sxn fuj yi
顺风车	sxn fuj ce
顺风转舵	sxn fuj zvn to
须丸	sxi yvn
须弥	sxi nei
须弥山	sxi nei san
须后	sxi hru
须后水	sxi hru sxi
须根	sxi grn
须知	sxi zi
须臾	sxi yv
颂扬	zuj yxj
颂歌	zuj go
颂声载道	zuj sij zoi dou
颂词	zuj ci
颂赞	zuj zan
预付	yv fu
预估	yv gu
预备	yv bei
预备役军人	yv bei yik gurn yrn
预备知识	yv bei zi sik
预兆	yv siu
预卜	yv buk
预告	yv gou
豫告	yv gou
预告片	yv gou pin
预售	yv sru
预报	yv bou
预定	yv dij
预定义	yv dij yi
预后	yv hru
预想	yv sxj
预感	yv grm
预应力	yv yij lik
预扣	yv kru
预提	yv tri
预支	yv zi
预收费	yv sru fri
预期推理	yv kei txi lei
预期收入票据	yv kei sru yrp piu gxi
预期用途	yv kei yuj tou
预案	yv on
预测	yv crk
预演	yv yin
预热	yv yit
预留	yv lru
预知	yv zi
预示	yv si
预祝	yv zuk
预科	yv fo
预约	yv yxk
预习	yv zap
预装	yv zoj
预制	yv zri
预见	yv gin
预览	yv lam
预言家	yv yin ga
预计	yv gri
预托证券	yv tok zij hvn
预设	yv cit
预试	yv si
预谋	yv mru
预谋杀人	yv mru sat yrn
预警	yv gij
预警机	yv gij gei
预警系统	yv gij hri tuj
预购	yv kru
预赛	yv coi
预选	yv svn
预配	yv pui
预防	yv foj
预防免疫	yv foj min yik
预防器	yv foj hei
预防性	yv foj sij
预防接种	yv foj zip zuj
预防措施	yv foj cou si
预防法	yv foj fat
预防针	yv foj zrm
顽劣	wan lvt
顽匪	wan fei
顽固	wan gu
顽梗	wan grj
顽民	wan mrn
顽疾	wan zrt
顽症	wan zij
顽童	wan tuj
顽钝	wan dxn
颁授	ban sru
颁奖	ban zxj
颁发	ban fat
颁示	ban si
颁给	ban krp
颁行	ban hrj
颁赐	ban ci
颁赏	ban sxj
顿悟	dxn j
顿挫	dxn co
顿挫抑扬	dxn co yik yxj
抑扬顿挫	yik yxj dxn co
顿时	dxn si
顿河	dxn ho
顿涅斯克	dxn nip si hrk
顿涅茨克	dxn nip ci hrk
顿然	dxn yin
顿号	dxn hou
顿觉	dxn gok
顿足	dxn zuk
顿首	dxn sru
颇具	po gxi
颇多	po do
颇为	po wri
领先	lij sin
领先地位	lij sin dei wri
领到	lij dou
领取	lij cxi
领受	lij sru
领口	lej hru
领命	lij mij
领唱	lij cxj
领土	lij tou
领土完整	lij tou yvn zij
领地	lij dei
领域	lij wik
领子	lej zi
领导	lij dou
领导人	lij dou yrn
领导层	lij dou crj
领导权	lij dou kvn
领导者	lij dou ze
领导职务	lij dou zik mou
领导能力	lij dou nrj lik
领导集体	lij dou zap tri
领岩鹨	lij jam lru
领巾	lej grn
领带	lej dai
领悟	lij j
领悟力	lij j lik
领情	lij cij
领收	lij sru
领教	lij gau
领料	lij liu
领料单	lij liu dan
领会	lij wui
领有	lij yru
领洗	lij sri
领海	lij hoi
领燕鸻	lij yin hrj
领奖	lij zxj
领奖台	lij zxj toi
领班	lij ban
领略	lij lxk
领空	lij huj
领章	lij zxj
领结	lej git
领罪	lij zxi
领航	lij hoj
领航员	lij hoj yvn
领英	lij yij
领袖	lij zru
领角鸮	lij gok hiu
领诺	lij nok
领走	lej zru
领跑	lij pau
领路	lij lou
领军	lij gurn
领扣	lej kru
领衔	lij ham
领衔主演	lij ham zv yin
领队	lij dxi
领雀嘴鹎	lij zxk zxi bei
领头	lij tru
领头羊	lij tru yxj
领养	lij yxj
领馆	lij gun
领鸺鹠	lij yru lru
领䴗鹛	lij guik mei
颐和园	yi wo yvn
颐性养寿	yi sij yxj sru
颐指	yi zi
颐指气使	yi zi hei sri
颐指风使	yi zi fuj sri
颐养	yi yxj
颐养天年	yi yxj tin nin
头一	tru yrt
头一回	tru yrt wui
头上	tru sxj
头份	tru frn
头份镇	tru frn zrn
头伏	tru fuk
头信息	tru sxn sik
头像	tru zxj
头儿	tru yi
头儿脑儿	tru yi nou yi
头兜	tru dru
头冠	tru gun
头功	tru guj
头午	tru j
头半天	tru bun tin
头半天儿	tru bun tin yi
头名	tru mij
头向前	tru hxj cin
头回	tru wui
头城	tru sij
头城镇	tru sij zrn
头大	tru dai
头套	tru tou
头子	tru zi
头孢拉定	tru bau lai dij
头孢菌	tru bau qurn
头孢菌素	tru bau qurn sou
头家	tru ga
头寸	tru cvn
头屋	tru uk
头屋乡	tru uk hxj
头屯河	tru tvn ho
头屯河区	tru tvn ho kxi
头巾	tru grn
头座	tru zo
头彩	tru coi
头悬梁，锥刺股	tru yvn lxj ，zxi ci gu
头戴式耳机	tru dai sik yi gei
头挡	tru doj
头文字	tru mrn zi
头昏	tru frn
头昏目晕	tru frn muk wrn
头昏目眩	tru frn muk yvn
头昏眼晕	tru frn jan wrn
头昏眼暗	tru frn jan rm
头昏眼花	tru frn jan fa
头昏脑闷	tru frn nou mun
头昏脑眩	tru frn nou yvn
头昏脑胀	tru frn nou zxj
头昏脑涨	tru frn nou zxj
头晚	tru man
头晕	tru wrn
头晕目眩	tru wrn muk yvn
头晕眼花	tru wrn jan fa
头晕脑胀	tru wrn nou zxj
头晕脑涨	tru wrn nou zxj
头朝下	tru ciu ha
头期款	tru kei fun
头条	tru tiu
头条新闻	tru tiu srn mrn
头款	tru fun
头版	tru ban
头牌	tru pai
头奖	tru zxj
头疼	tru trj
头痛	tru tuj
头痛欲裂	tru tuj yuk lit
头痛医头	tru tuj yi tru
头痛医头，脚痛医脚	tru tuj yi tru ，gxk tuj yi gxk
头癣	tru sin
头皮	tru pei
头皮屑	tru pei sit
头盔	tru quri
头目	tru muk
头破血流	tru po hvt lru
头等	tru drj
头等舱	tru drj coj
头箍	tru ku
头箍儿	tru ku yi
头纱	tru sa
头索类	tru sok lxi
头绳	tru sij
头罩	tru zau
头羊	tru yxj
头胀	tru zxj
头脑清楚	tru nou cij co
头脑发胀	tru nou fat zxj
头脑简单四肢发达	tru nou gan dan sei zi fat dat
头脸	tru lim
头脸儿	tru lim yi
头盖	tru goi
头盖骨	tru goi gurt
头号	tru hou
头号字	tru hou zi
头虱	tru srt
头角	tru gok
头角峥嵘	tru gok zaj wij
头足纲	tru zuk goj
头路	tru lou
头道	tru dou
头部	tru bou
头里	tru lei
头重	tru cuj
头重脚轻	tru cuj gxk hej
头衔	tru ham
头陀	tru to
头面	tru min
头面人物	tru min yrn mrt
头顶	tru dej
头领	tru lij
头头是道	tru tru si dou
头颈	tru gej
头颅	tru lou
头风	tru fuj
头饰	tru sik
头香	tru hxj
头骨	tru gurt
头发	tru fat
头发胡子一把抓	tru fat wu zi yrt ba zau
颊窝	hap wo
颔下	hrm ha
颔下腺	hrm ha sin
颔联	hrm lvn
颔首	hrm sru
颔首之交	hrm sru zi gau
颔首微笑	hrm sru mei siu
颈动脉	gej duj mrk
颈圈	gej hvn
颈子	gej zi
颈椎	gej zxi
颈椎病	gej zxi bej
颈背	gej bui
颈部	gej bou
颈链	gej lin
颈项	gej hoj
颓势	txi sri
颓唐	txi toj
颓丧	txi soj
颓圮	txi pei
颓垣断壁	txi wun dvn bik
颓塌	txi tap
颓坏	txi wai
颓废	txi fri
颓废派	txi fri pai
颓放	txi foj
颓败	txi bai
颓景	txi gij
颓朽	txi nru
颓然	txi yin
颓老	txi lou
颓萎	txi wri
颓运	txi wrn
颓靡	txi mei
颓风	txi fuj
频仍	prn yij
频危物种	prn jri mrt zuj
频宽	prn fun
频带	prn dai
频度	prn dou
频数	prn sou
频数分布	prn sou frn bou
频段	prn dvn
频率	prn lxt
频率合成	prn lxt hrp sij
频率调制	prn lxt tiu zri
频繁	prn fan
频谱	prn pou
频道	prn dou
频频	prn prn
颗粒	fo lrp
颗粒无收	fo lrp mou sru
颗粒物	fo lrp mrt
题名	tri mij
题字	tri zi
题写	tri se
题序	tri zxi
题意	tri yi
题旨	tri zi
题签	tri cim
题花	tri fa
题解	tri gai
题记	tri gei
题词	tri ci
题跋	tri brt
额吉	jak grt
额外	jak joi
额外性	jak joi sij
额定	jak dij
额定值	jak dij zik
额度	jak dou
额敏	jak mrn
额敏县	jak mrn yvn
额比河	jak bei ho
额济纳	jak zri nap
额济纳地区	jak zri nap dei kxi
额济纳旗	jak zri nap kei
额济纳河	jak zri nap ho
额尔古纳	jak yi gu nap
额尔古纳右旗	jak yi gu nap yru kei
额尔古纳左旗	jak yi gu nap zo kei
额尔古纳市	jak yi gu nap si
额尔古纳河	jak yi gu nap ho
额尔金	jak yi grm
额尔齐斯河	jak yi cri si ho
额窦	jak dru
